Date,Close,Open,High,Low
29-Nov-13,8820.75,8769.25,8839.75,8744
02-Dec-13,8854,8804.9,8881.95,8804.9
03-Dec-13,8867.8,8837.05,8906.95,8837.05
04-Dec-13,8876.6,8868.25,8950.7,8864.45
05-Dec-13,8834.55,8932.95,8970.95,8817.05
06-Dec-13,8827.8,8813.8,8856.45,8810.1
09-Dec-13,8877.1,8926.25,8930.45,8837.55
10-Dec-13,9045.9,8867,9070.3,8867
11-Dec-13,9028.2,9031.4,9045.45,8982.9
12-Dec-13,8964.95,8991.45,9006.1,8950.85
13-Dec-13,8957.6,8948.25,9025.9,8938.65
16-Dec-13,9110.25,8975.2,9134.15,8961.85
17-Dec-13,9119.35,9126.1,9197.35,9109.05
18-Dec-13,9167.9,9110.8,9178.15,9110.3
19-Dec-13,9329,9207.05,9401.3,9192.2
20-Dec-13,9488.25,9368.4,9521.65,9368.4
23-Dec-13,9385.45,9448.85,9531.95,9372.3
24-Dec-13,9391.5,9418.35,9455.25,9372.8
25-Dec-13,9391.5,9418.35,9455.25,9372.8
26-Dec-13,9430.1,9405.2,9451.4,9391
27-Dec-13,9579.1,9460.15,9598.1,9460.15
30-Dec-13,9499.6,9609.65,9632.15,9451.3
31-Dec-13,9517.85,9514.55,9546.7,9467.5
01-Jan-14,9462.8,9548.5,9558.35,9453.2
02-Jan-14,9478.35,9475.3,9546.3,9445.55
03-Jan-14,9673.2,9456.45,9684,9431.7
06-Jan-14,9640.75,9707.35,9709.45,9569.65
07-Jan-14,9522.75,9648.7,9648.7,9507.85
08-Jan-14,9531.55,9539.15,9608.9,9519.25
09-Jan-14,9575.85,9546.9,9606,9518.4
10-Jan-14,9782.7,9664.4,9848.35,9602.6
13-Jan-14,10060.15,9831.55,10080.95,9831.55
14-Jan-14,9996.8,10042.65,10067.25,9964.25
15-Jan-14,10065.95,10040.3,10105.5,10000.25
16-Jan-14,10127.75,10089.25,10153.75,10043.65
17-Jan-14,9884.35,10072.85,10078.95,9867.8
20-Jan-14,10154,9872.2,10165.9,9872.2
21-Jan-14,10095.55,10155.15,10158.45,10062.4
22-Jan-14,10112.8,10078.2,10140.4,10051.6
23-Jan-14,10086.35,10116.6,10123.95,10008.55
